Item,Part Number,Specifications,Total Cost,Reference
Servo,7350MG-D,5g 23.7 x 19.6 x 8.4 mm 0.77kgcm,$6.85,https://item.taobao.com/item.htm?spm=a230r.1.14.16.5782727e7QhuTq&id=571188738490&ns=1&abbucket=3#detail
Servo,MG90S 90,16g 28.3 x 22.3 x 11.8 mm 2.8kgcm,$4.95,https://item.taobao.com/item.htm?spm=a230r.1.14.34.60a1543bOChR2h&id=19375870769&ns=1&abbucket=16#detail
Transparent Ball,10cm,,$1.72,https://shopee.sg/Hot-Clear-Plastic-Craft-Ball-Acrylic-Transparent-Christmas-Party-Baubles-4-10cm-i.60315186.1599030202
ESP32-CAM,ESP32-CAM,Development Board,$6.01,https://item.taobao.com/item.htm?spm=a1z09.2.0.0.3a722e8d2sRmLf&id=580580377684&_u=k2e207vd5cdd
Gyroscope + Accelerometer,MPU6050,"I2C, 3.3V/5V",$0.72,https://item.taobao.com/item.htm?spm=a1z10.3-c-s.w4002-21223910208.12.12246a4bpp4oji&id=522575310310
Battery Charger,134N3P ,"1S, Micro-USB",$0.86,"https://www.aliexpress.com/item/4001339499180.html?spm=a2g0o.productlist.0.0.5e3d3962WUgZAe&algo_pvid=986bdbfd-d5b2-4a66-99c2-8ac6c3fddc1d&algo_expid=986bdbfd-d5b2-4a66-99c2-8ac6c3fddc1d-6&btsid=0b0a556e16216194469312690e52d8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
Battery,103450,1800mAh 50 x 34 x 10 mm,$3.52,https://shopee.sg/Original-1PC-3.7V-1800mAh-Li-Po-Rechargeable-Battery-103450-For-DVD-GPS-PDA-Headphone-i.265063748.6835551926
Switch,SS-12D07G3,8.6 x 4.3 x 4.7 mm,$0.30,https://item.taobao.com/item.htm?spm=a1z10.3-c-s.w4002-21223910208.22.6ecf6a4bhidF32&id=522571733880
LED Ring,WS2812B,,$0.64,https://item.taobao.com/item.htm?spm=a1z10.5-c-s.w4002-22712549685.26.24956b0fpjB3on&id=45850094267
Gel Tape,,,$1.00,https://detail.tmall.com/item.htm?spm=a230r.1.14.51.232068ddDuyKtb&id=589579769982&ns=1&abbucket=3&skuId=4203489235958
ESP32-WROVER,ESP32-WROVER,Bare ESP32,$4.00,"https://www.aliexpress.com/item/1005002233373160.html?spm=a2g0o.productlist.0.0.79713bd3Uzxn8b&algo_pvid=4d44c982-e7e5-471d-8b64-f6aa62b95918&algo_expid=4d44c982-e7e5-471d-8b64-f6aa62b95918-0&btsid=0b0a556816216195174592380e55ee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
,,,$30.57,
